0	0
0.02	0.016998
0.04	0.033997
0.06	0.050995
0.08	0.067994
0.1	0.084992
0.12	0.10199
0.14	0.11899
0.16	0.13599
0.18	0.15299
0.2	0.16998
0.22	0.18698
0.24	0.20398
0.26	0.22098
0.28	0.23798
0.3	0.25498
0.32	0.27197
0.34	0.28897
0.36	0.30597
0.38	0.32297
0.4	0.33997
0.42	0.35697
0.44	0.37396
0.46	0.39096
0.48	0.40796
0.5	0.42496
0.52	0.44196
0.54	0.45896
0.56	0.47596
0.58	0.49295
0.6	0.50995
0.62	0.52695
0.64	0.54395
0.66	0.56095
0.68	0.57795
0.7	0.59494
0.72	0.61194
0.74	0.62894
0.76	0.64594
0.78	0.66294
0.8	0.67994
0.82	0.69693
0.84	0.71393
0.86	0.73093
0.88	0.74793
0.9	0.76493
0.92	0.78193
0.94	0.79892
0.96	0.81592
0.98	0.83292
1	0.84992
1.02	0.86692
1.04	0.88392
1.06	0.90092
1.08	0.91791
1.1	0.93491
1.12	0.95191
1.14	0.96891
1.16	0.98591
1.18	1.0029
1.2	1.0199
1.22	1.0369
1.24	1.0539
1.26	1.0709
1.28	1.0879
1.3	1.1049
1.32	1.1219
1.34	1.1389
1.36	1.1559
1.38	1.1729
1.4	1.1899
1.42	1.2069
1.44	1.2239
1.46	1.2409
1.48	1.2579
1.5	1.2749
