1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0.051826
15	0.13808
16	0.24453
17	0.35991
18	0.47572
19	0.58582
20	0.68346
21	0.76531
22	0.83058
23	0.88012
24	0.91581
25	0.94003
26	0.95542
27	0.9645
28	0.96947
29	0.97204
30	0.97348
31	0.97463
32	0.97597
33	0.9777
34	0.97984
35	0.98228
36	0.98488
37	0.98746
38	0.98989
39	0.99206
40	0.99392
41	0.99544
42	0.99663
43	0.99752
44	0.99816
45	0.9986
46	0.9989
47	0.99908
48	1.1222
49	1.2274
50	1.3175
51	1.3945
52	1.4604
53	1.5167
54	1.5149
55	1.5111
56	1.5025
57	1.488
58	1.4675
59	1.4415
60	1.4137
61	1.3841
62	1.3534
63	1.3223
64	1.2917
65	1.2622
66	1.2343
67	1.2082
68	1.1842
69	1.1624
70	1.1428
71	1.1253
72	1.1098
73	1.0962
74	1.0842
75	1.0736
76	1.0644
77	1.0563
78	1.0492
79	1.043
80	1.0375
81	1.0327
82	1.0285
83	1.0247
84	1.0215
85	1.0186
86	1.0161
87	1.014
88	1.0121
89	1.0104
90	1.009
91	1.0077
92	1.0067
93	1.0058
94	1.005
95	1.0043
96	1.0037
97	1.0032
98	1.0027
99	1.0023
100	1.002
