1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0.086347
15	0.19408
16	0.29967
17	0.39541
18	0.47961
19	0.55267
20	0.60826
21	0.65135
22	0.68675
23	0.71736
24	0.74472
25	0.7696
26	0.79301
27	0.81499
28	0.83526
29	0.85361
30	0.87002
31	0.88458
32	0.8974
33	0.90864
34	0.91854
35	0.9273
36	0.93509
37	0.94204
38	0.94826
39	0.95384
40	0.95883
41	0.9633
42	0.96729
43	0.97085
44	0.97402
45	0.97684
46	0.97935
47	0.98159
48	0.98358
49	0.98536
50	0.98694
51	0.98836
52	0.98962
53	0.99074
54	0.99175
55	0.99264
56	0.99344
57	0.99415
58	0.99478
59	0.99535
60	0.99585
61	0.9963
62	0.9967
63	0.99706
64	0.99738
65	0.99766
66	0.99792
67	0.99814
68	0.99834
69	0.99852
70	0.99868
71	0.99883
72	0.99895
73	0.99907
74	0.99917
75	0.99926
76	0.99934
77	0.99941
78	0.99947
79	0.99953
80	0.99958
81	0.99963
82	0.99967
83	0.9997
84	0.99974
85	0.99976
86	0.99979
87	0.99981
88	0.99983
89	0.99985
90	0.99987
91	0.99988
92	0.99989
93	0.99991
94	0.99992
95	0.99993
96	0.99993
97	0.99994
98	0.99995
99	0.99995
100	0.99996
